NGVS-1+2.s.g,3.75,11,19.2,2.00E+00
NGVS-1+2.s.i,1.34,26,92.1,5.61E+00
NGVS-1+2.s.r,1.83,14,27,4.10E+00
NGVS-1+2.s.u,5.04,12,19.3,1.49E+00
NGVS-1+2.s.z,0.89,24,78,8.46E+00
NGVS-1+3.l.g,192,97,1256.4,3.90E-02
NGVS-1+3.l.i,68,121,1970.2,1.09E-01
NGVS-1+3.l.u,113,60,219.3,1.45E-01
NGVS-1+3.l.z,56,170,2618.9,1.96E-01
NGVS-1+3.s.g,3.71,13,24.1,2.02E+00
NGVS-1+3.s.i,1.38,22,64.8,5.45E+00
NGVS-1+3.s.z,0.86,29,114.8,8.69E+00
NGVS-1+4.l.g,191,96,1239,3.92E-02
NGVS-1+4.l.i,69,126,2126.9,1.08E-01
NGVS-1+4.l.u,130,62,240.1,1.26E-01
